name,year,rating,sipnosis,generos,director
Avatar: El sentido del agua,2022,"7,9","Jake Sully vive con su nueva familia en el planeta de Pandora. Cuando una amenaza conocida regresa, Jake debe trabajar con Neytiri y el ejército de la raza na'vi para proteger su planeta.","['Acción', 'Aventura', 'Fantasía']",James Cameron
Puñales por la espalda: El misterio de Glass Onion,2022,"7,2",,"['Comedia', 'Crimen', 'Drama']",Rian Johnson
El menú,2022,"7,3",,"['Comedia', 'Terror', 'Suspense']",Mark Mylod
Ruido de fondo,2022,"5,8",,"['Comedia', 'Drama', 'Terror']",Noah Baumbach
Los crímenes de la academia,2022,"6,7",,"['Crimen', 'Terror', 'Misterio']",
Puñales por la espalda,2019,"7,9",,"['Comedia', 'Crimen', 'Drama']",Rian Johnson
Babylon,2022,"7,4",,"['Comedia', 'Drama', 'Historia']",Damien Chazelle
Evil Dead Rise,2023,,,"['Fantasía', 'Terror', 'Suspense']",
M3gan,2022,"6,7",,"['Terror', 'Ciencia ficción', 'Suspense']",
Almas en pena de Inisherin,2022,"7,8",,"['Comedia', 'Drama']",Martin McDonagh
Avatar,2009,"7,9",,"['Acción', 'Aventura', 'Fantasía']",James Cameron
El peor vecino del mundo,2022,"7,3",,"['Comedia', 'Drama']",Marc Forster
Bullet Train,2022,"7,3",,"['Acción', 'Comedia', 'Suspense']",David Leitch
Top Gun: Maverick,2022,"8,3",,"['Acción', 'Drama']",Joseph Kosinski
El gato con botas: El último deseo,2022,"7,8",,"['Animación', 'Aventura', 'Comedia']",Joel Crawford
Romeo y Julieta,1968,"7,6",,"['Drama', 'Romance']",Franco Zeffirelli
"Matilda de Roald Dahl, el musical",2022,"7,2",,"['Comedia', 'Drama', 'Familiar']",Matthew Warchus
Todo a la vez en todas partes,2022,"8,1",,"['Acción', 'Aventura', 'Comedia']",Dan Kwan
La ballena,2022,"8,1",,['Drama'],Darren Aronofsky
Los Fabelman,2022,"7,7",,['Drama'],Steven Spielberg
Ámsterdam,2022,"6,1",,"['Comedia', 'Drama', 'Historia']",David O. Russell
X,2022,"6,6",,"['Terror', 'Misterio', 'Suspense']",Ti West
Mundo extraño,2022,"5,5",,"['Animación', 'Acción', 'Aventura']",Don Hall
Renfield,2023,,,"['Comedia', 'Fantasía', 'Terror']",
El triángulo de la tristeza,2022,"7,5",,"['Comedia', 'Drama']",Ruben Östlund
Pinocho de Guillermo del Toro,2022,"7,7",,"['Animación', 'Drama', 'Familiar']",Guillermo del Toro
Noche de paz,2022,"6,8",,"['Acción', 'Comedia', 'Crimen']",
Black Adam,2022,"6,4",,"['Acción', 'Aventura', 'Fantasía']",Jaume Collet-Serra
Top Gun. Ídolos del aire,1986,"6,9",,"['Acción', 'Drama']",Tony Scott
La chica en el sótano,2021,"6,3",,"['Crimen', 'Suspense']",Elisabeth Röhm
Barbarian,2022,"7,0",,"['Terror', 'Misterio', 'Suspense']",Zach Cregger
Black Panther: Wakanda Forever,2022,"7,2",,"['Acción', 'Aventura', 'Drama']",Ryan Coogler
The Batman,2022,"7,8",,"['Acción', 'Crimen', 'Drama']",Matt Reeves
Operacion Fortune: El gran engaño,2023,"6,8",,"['Acción', 'Comedia', 'Suspense']",
I Wanna Dance with Somebody,2022,"6,9",,"['Biografía', 'Drama', 'Música']",Kasi Lemmons
Aftersun,2022,"7,8",,['Drama'],Charlotte Wells
"No te preocupes, querida",2022,"6,2",,"['Drama', 'Suspense']",Olivia Wilde
Oppenheimer,2023,,,"['Biografía', 'Drama', 'Historia']",
Tár,2022,"7,7",,"['Biografía', 'Drama', 'Música']",Todd Field
Barbie,2023,,,"['Aventura', 'Comedia', 'Fantasía']",
¡Nop!,2022,"6,9",,"['Terror', 'Misterio', 'Ciencia ficción']",Jordan Peele
Smile,2022,"6,6",,"['Terror', 'Misterio', 'Suspense']",Parker Finn
El hombre del norte,2022,"7,1",,"['Acción', 'Aventura', 'Drama']",Robert Eggers
La invitación,2022,"5,3",,"['Terror', 'Suspense']",Jessica M. Thompson
Willow,1988,"7,2",,"['Acción', 'Aventura', 'Drama']",Ron Howard
Sin tiempo para morir,2021,"7,3",,"['Acción', 'Aventura', 'Suspense']",Cary Joji Fukunaga
Ellas hablan,2022,"7,5",,['Drama'],Sarah Polley
Jurassic World: Dominion,2022,"5,6",,"['Acción', 'Aventura', 'Ciencia ficción']",Colin Trevorrow
El padrino,1972,"9,2",,"['Crimen', 'Drama']",Francis Ford Coppola
Hasta los huesos (Bones and all),2022,"6,9",,"['Drama', 'Terror', 'Romance']",Luca Guadagnino
Encanto,2021,"7,2",,"['Animación', 'Comedia', 'Familiar']",Jared Bush
Sin novedad en el frente,2022,"7,8",,"['Acción', 'Drama', 'Bélico']",Edward Berger
Cadena perpetua,1994,"9,3",,['Drama'],Frank Darabont
La chica salvaje,2022,"7,1",,"['Drama', 'Misterio', 'Suspense']",Olivia Newman
Matilda,1996,"7,0",,"['Comedia', 'Familiar', 'Fantasía']",Danny DeVito
Harry Potter y la piedra filosofal,2001,"7,6",,"['Aventura', 'Familiar', 'Fantasía']",Chris Columbus
Emily la estafadora,2022,"6,7",,"['Crimen', 'Drama', 'Suspense']",John Patton Ford
Llaman a la puerta,2023,,,"['Terror', 'Misterio', 'Suspense']",
Interstellar,2014,"8,6",,"['Aventura', 'Drama', 'Ciencia ficción']",Christopher Nolan
Love Actually,2003,"7,6",,"['Comedia', 'Drama', 'Romance']",Richard Curtis
Pearl,2022,"7,0",,['Terror'],Ti West
Black Phone,2021,"6,9",,"['Terror', 'Suspense']",Scott Derrickson
RRR,2022,"7,9",,"['Acción', 'Drama']",S.S. Rajamouli
Indiana Jones y el dial del destino,2023,,,"['Acción', 'Aventura']",
Elvis,2022,"7,4",,"['Biografía', 'Drama', 'Música']",Baz Luhrmann
Mira cómo corren,2022,"6,5",,"['Comedia', 'Crimen', 'Misterio']",Tom George
Viaje al paraíso,2022,"6,2",,"['Comedia', 'Romance']",Ol Parker
Killers of the Flower Moon,,,,"['Crimen', 'Drama', 'Historia']",Martin Scorsese
El agente invisible,2022,"6,5",,"['Acción', 'Suspense']",
El Imperio de la Luz,2022,"6,7",,"['Drama', 'Romance']",Sam Mendes
Dune,2021,"8,0",,"['Acción', 'Aventura', 'Drama']",Denis Villeneuve
Al descubierto,2022,"7,2",,"['Drama', 'Historia']",Maria Schrader
Titanic,1997,"7,9",,"['Drama', 'Romance']",James Cameron
Hacia la libertad,2022,"6,0",,"['Acción', 'Suspense']",Antoine Fuqua
This Place Rules,2022,"7,5",,"['Documental', 'Crimen', 'Historia']",
Zardoz,1974,"5,8",,"['Aventura', 'Fantasía', 'Ciencia ficción']",John Boorman
Animales fantásticos: Los secretos de Dumbledore,2022,"6,2",,"['Aventura', 'Familiar', 'Fantasía']",David Yates
Thor: Love and Thunder,2022,"6,3",,"['Acción', 'Aventura', 'Comedia']",Taika Waititi
El amante de Lady Chatterley,2022,"6,6",,"['Drama', 'Romance']",Laure de Clermont-Tonnerre
The Fallout,2021,"7,0",,['Drama'],Megan Park
7 mujeres y un misterio,2021,"5,3",,"['Comedia', 'Crimen', 'Misterio']",Alessandro Genovesi
La mujer rey,2022,"6,7",,"['Acción', 'Drama', 'Historia']",Gina Prince-Bythewood
La familia Addams,1991,"6,9",,"['Comedia', 'Fantasía']",Barry Sonnenfeld
